study_id,cohort,task,stage,view,run_id,arm,pair_id,n_total,m,vendi,subset_low,subset_high,n_subsets
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,jubias-pair-002,9,5,1.5297187370204222,1.3331851489872502,1.7047331994603747,126
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,jubias-pair-003,10,5,1.5997633746670326,1.3912870293354433,1.8024270497501786,252
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,jubias-pair-003,17,5,1.3722726507591592,1.2822524986153097,1.4452481315913157,1000
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,jubias-pair-001,7,6,1.7044160150392282,1.6507157696092942,1.7528672966751322,7
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,jubias-pair-001,11,6,1.6655870508260726,1.5419597655409667,1.7673321688362094,462
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,analogy,jubias-pair-002,17,6,1.522694532435216,1.401311167098177,1.6208275233371652,1000
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,jubias-pair-002,9,6,1.579417287231338,1.3874995266731838,1.7207226930481099,84
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,jubias-pair-003,10,6,1.6552285216917342,1.458779610822531,1.8088753864321854,210
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,jubias-pair-003,17,6,1.4074891791660673,1.3257521382914699,1.4718909258659112,1000
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,jubias-pair-001,7,7,1.75116058376569,1.75116058376569,1.75116058376569,1
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,jubias-pair-001,11,7,1.7145828667859142,1.5981868307738614,1.8012148400402013,330
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,analogy,jubias-pair-002,17,7,1.5633884045198752,1.4530920268447305,1.6594876877083213,1000
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,jubias-pair-002,9,7,1.6200095635005916,1.4523281884536468,1.720010319226195,36
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,jubias-pair-003,10,7,1.7000085766111832,1.5013983017754426,1.8205189599150335,120
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,jubias-pair-003,17,7,1.4327839095200923,1.3543495258221858,1.4988033828355622,1000
